Hyades       VB 69       45 0.75   8.64 11.52 31 28.76 33 -4.63 1.02
Hyades       VB 73       45 0.61   7.82  7.41 31 29.05 33 -4.63 1.11
Hyades       VB 79       45 0.83   8.94 11.38 31 28.59 33 -4.70 1.00
Hyades       VB 91       45 0.88   8.92  9.36 31 28.54 33 -4.78 1.00
Hyades       VB 92       45 0.74   8.66  9.04 31 28.67 33 -4.71 1.02
Hyades       VB 97       45 0.63   7.92  8.55 31 28.89 33 -4.75 1.10
Hyades       VB 102      45 0.60   7.54  6.46 31 29.19 33 -4.60 1.13
Hyades       VB 174      45 1.04   9.98 11.88 31 28.51 34 -4.45 0.90
Hyades       VB 175      45 1.03  10.28 10.82 31 28.19 34 -4.64 0.88
Hyades       VA 190      45 1.32  10.71  3.66 31 29.48 34 -3.33 0.84
Hyades       VA 486      45 1.49  12.10  2.42 32 29.44 34 -3.17 0.74
Hyades       VA 512      45 1.53  14.26  8.80 32 28.82 33 -3.29 0.55
